Stabilimento.: 149 - Disegno.: Tutti - Validi al.: 18-06-2018 - Configurazione.: Tutti
"Stabilimento";"Desc.Stabilimento";"Disegno";"Desc.Disegno";"Mdr";"Desc.Mdr";"Qta Mdr";"Ultimo utilizzo";"Inizio validita'";"Fine validita'";"Data caricamento";
"149";"SEVEL Val di Sangro Carrozzeria";"00105976280";"VITE M6X14  CON COLLARINO";"3147";"CASSETTA RL-KLT";"800";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00107070210";"VITE M6X18(FISSAG.PARAFANGHI) - (K)";"3147";"CASSETTA RL-KLT";"1200";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00107138270";"VITE TE/FA ESTREMITA CONICA M8X20";"3147";"CASSETTA RL-KLT";"500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00107342010";"COPIGLIA 2X15";"3147";"CASSETTA RL-KLT";"15000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00108602700";"COLLARE DOPPIA CREM.DIAM. 23";"4280";"CASSETTA RL-KLT";"1700";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00108603700";"COLLARE DOPPIA CREM. DIAM. 27";"4280";"CASSETTA RL-KLT";"1500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00108604700";"COLLARE DOPPIA CREM. DIAM. 33";"4280";"CASSETTA RL-KLT";"1200";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00108608700";"COLLARE ELASTICO    DOPPIA CREM.DIAM.38";"4280";"CASSETTA RL-KLT";"1000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00108611700";"COLLARE CON AGGANCIO DOPPIA CREM.DIAM43";"4280";"CASSETTA RL-KLT";"800";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00108613700";"COLLARE DOPPIA CREM. DIAM. 48";"6280";"CASSETTA RL-KLT";"1300";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00108973870";"FASCETTA SU CAVO";"6280";"CASSETTA RL-KLT";"4000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00109024240";"VITE(NORMALE)       M6X20";"3147";"CASSETTA RL-KLT";"1800";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00109329870";"VITE(NORMALE) TCE   M6X22";"3147";"CASSETTA RL-KLT";"1600";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00110640760";"FERMAGLIO SICUR. PERNO FUNE FRENO A MANO";"4280";"CASSETTA RL-KLT";"10000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00110838700";"COLLARE NEMO BES 79";"6280";"CASSETTA RL-KLT";"300";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00111941740";"ROSETTA CON.ELAST.  14X27X3";"3147";"CASSETTA RL-KLT";"1000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00114160230";"VITE(NORMALE)- -";"3147";"CASSETTA RL-KLT";"800";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00115166900";"COLLARE- -";"6280";"CASSETTA RL-KLT";"500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00115667240";"VITE TCE M5X25 ROS.";"3147";"CASSETTA RL-KLT";"2000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00115688240";"VITE(NORMALE) M6X35 TCE ROS.IMP.MONT.AUT";"3147";"CASSETTA RL-KLT";"800";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00116184240";"VITE TE M6X20 C.ROS.PIAN.IMP.ES.PIL.CIL.";"3147";"CASSETTA RL-KLT";"1300";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00117310240";"VITE TE M6*28";"3147";"CASSETTA RL-KLT";"1000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00125741110";"DADO E AUTOFR.ANEL. POLIAM.NORM.M5";"3147";"CASSETTA RL-KLT";"4000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00125780110";"DADO E AUTOFR.ANELLO N.METALLIC.M5";"3147";"CASSETTA RL-KLT";"4000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00125781110";"DADO E AUTOFR.ANELLO N.METALLIC.M6";"3147";"CASSETTA RL-KLT";"2000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00125781150";"DADO E AUTOFR.ANELLO N.METALLIC.M6";"3147";"CASSETTA RL-KLT";"2000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00125781180";"DADO E AUTOFR.ANELLO  N.METALLIC.M6";"3147";"CASSETTA RL-KLT";"2500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00125782110";"DADO E AUOTFR.ANELLO N.METALLIC.M8";"3147";"CASSETTA RL-KLT";"1000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00125783110";"DADO E AUTOFR.ANELLO N.METALLIC.M10X1,25";"3147";"CASSETTA RL-KLT";"800";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126013740";"ROSETTA ELAST.      ONDULATA 8";"3147";"CASSETTA RL-KLT";"10000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126249040";"ROSETTA 6X30";"3147";"CASSETTA RL-KLT";"1100";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126437010";"ROSETTA 6 X 18";"3147";"CASSETTA RL-KLT";"3500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126444010";"ROSETTA 6X15 P/FISSAG. PARAFANGO";"3147";"CASSETTA RL-KLT";"7600";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126444050";"ROSETTA 6X15";"3147";"CASSETTA RL-KLT";"7600";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126462010";"ROSETTA 8X35";"3147";"CASSETTA RL-KLT";"500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126462210";"ROSETTA 8X35";"3147";"CASSETTA RL-KLT";"400";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126466010";"ROSETTA 6X15";"3147";"CASSETTA RL-KLT";"2850";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126467210";"ROSETTA 8X20";"3147";"CASSETTA RL-KLT";"2400";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126467240";"ROSETTA 8X20";"3147";"CASSETTA RL-KLT";"2400";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126470240";"ROSETTA 8X25";"3147";"CASSETTA RL-KLT";"1200";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126471010";"ROSETTA TRANCIATA PIANA 8X20";"3147";"CASSETTA RL-KLT";"1700";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126471040";"ROSETTA 8X20";"3147";"CASSETTA RL-KLT";"1700";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126476040";"";"3147";"CASSETTA RL-KLT";"3500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126477010";"ROSETTA 6X21";"3147";"CASSETTA RL-KLT";"3500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00126489010";"ROSETTA 6X25";"3147";"CASSETTA RL-KLT";"2500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00130272870";"VITE TCE M6X20";"3147";"CASSETTA RL-KLT";"1500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00130461140";"DADO E CON FLANGIA  AUTOBLOCCANTE M6";"3147";"CASSETTA RL-KLT";"2500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00130462110";"DADO E CON FLANGIA  AUTOBLOCCANTE M8";"3147";"CASSETTA RL-KLT";"1000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00130462210";"DADO E CON FLANGIA  AUTOBLOCCANTE M8";"3147";"CASSETTA RL-KLT";"1000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00130971900";"COLLARE EL.A DOPPIA CREMAG.D.30(COL BLU)";"4280";"CASSETTA RL-KLT";"1100";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00130975900";"COLLARE EL.A DOPPIA CREMAG.D.50-C.GIALLO";"6280";"CASSETTA RL-KLT";"1000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00130976900";"COLLARE";"4280";"CASSETTA RL-KLT";"450";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00130977900";"COLLARE ELASTICO A  DOPPIA CREM.DIAM.60";"6280";"CASSETTA RL-KLT";"800";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00130978900";"COLLARE EL.A DOPPIA CREMAG.D.65(C.VERDE)";"6280";"CASSETTA RL-KLT";"600";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00130979900";"COLLARE ELASTICO A DOPPIA CREM.DIAM.70";"6280";"CASSETTA RL-KLT";"500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00130980900";"COLLARE EL. A DOPPIACREM. DIAM. 75(NERO)";"6280";"CASSETTA RL-KLT";"500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00131250700";"COLLARE A NASTRO PER MANIC.9,0-10,0 T.B";"4147";"CASSETTA RL-KLT";"3000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00131252700";"COLLARE A NASTRO PER MANIC.11,0-12,0 T.B";"4147";"CASSETTA RL-KLT";"4500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00131254700";"COLLARE A NASTRO PER MANIC.13,0-14,0 T.B";"4147";"CASSETTA RL-KLT";"2000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00131264700";"COLLARE A NASTRO PER MANIC.24,5-26,5 T.B";"4280";"CASSETTA RL-KLT";"1500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00131267700";"COLLARE A NASTRO PER MANIC.D.21,5 TIPO B";"4280";"CASSETTA RL-KLT";"2000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00131269700";"COLLARE A NASTRO PER MANIC.D.11,5 TIPO B";"4147";"CASSETTA RL-KLT";"2500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00131277700";"COLLARE A NASTRO PER MANIC.D.25";"4280";"CASSETTA RL-KLT";"1500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00131279700";"COLLARE A NASTRO PER MANIC.D.30 TIPO B";"4280";"CASSETTA RL-KLT";"1500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00131287700";"COLLARE A NASTRO PER MANIC.D.69,0 TIPO B";"6280";"CASSETTA RL-KLT";"700";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00131289700";"COLLARE A NASTRO PER MANIC.D.25,5 TIPO B";"4280";"CASSETTA RL-KLT";"1500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00131293700";"COLLARE A NASTRO PER MANIC.D.75,5 TIPO B";"6280";"CASSETTA RL-KLT";"700";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00131300700";"COLLARE A NASTRO PER MANIC.D.65,0 TIPO B";"6280";"CASSETTA RL-KLT";"800";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00131304700";"COLLARE A NASTRO PER MANIC.D.56 TIPO B";"6280";"CASSETTA RL-KLT";"1000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00131315700";"COLLARE A NASTRO PER MANIC.D.80,0 TIPO B";"6280";"CASSETTA RL-KLT";"600";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00132766170";"VITE TCIC M6X25";"3147";"CASSETTA RL-KLT";"1200";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00135801210";"ROSETTA TRANCIATA   16X32";"3147";"CASSETTA RL-KLT";"500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00138321010";"DADO E BORD M6";"3147";"CASSETTA RL-KLT";"2500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140361110";"VITE SDPR ESTR.PILOTA CILINDR. M6 X 18";"3147";"CASSETTA RL-KLT";"1700";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140372110";"DADO E CIECO AUTOFR.ANEL/CALOT.POLIAM.M6";"3147";"CASSETTA RL-KLT";"3500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140395110";"DADO E AUTOBL.CON   ROSETTA CONICA M5";"3147";"CASSETTA RL-KLT";"2500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140396110";"DADO E AUTOBL. CON  ROSETTA CONICA M6";"3147";"CASSETTA RL-KLT";"2000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140397140";"DADO E AUTOBL. CON  ROSETTA CONICA M8";"3147";"CASSETTA RL-KLT";"1000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140405110";"DADO E AUTOBL. CON  ROSETTA CONICA M5";"3147";"CASSETTA RL-KLT";"5000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140406110";"DADO E AUTOBL. CON  ROSETTA CONICA M6";"3147";"CASSETTA RL-KLT";"3000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140406140";"DADO E AUTOBL. CON  ROSETTA CONICA M6";"3147";"CASSETTA RL-KLT";"3500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140583110";"DADO EAUF M5";"3147";"CASSETTA RL-KLT";"5000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140591140";"DADO E CON FLANGIA  M5";"3147";"CASSETTA RL-KLT";"5000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140592100";"DADO E C.FLANGIA M6";"3147";"CASSETTA RL-KLT";"2500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140592110";"DADO E CON FLANGIA  M6";"3147";"CASSETTA RL-KLT";"2250";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140592140";"DADO E CON FLANGIA  M6";"3147";"CASSETTA RL-KLT";"2500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140592180";"DADO ESAG. FLANGIATO";"3147";"CASSETTA RL-KLT";"2500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140592210";"DADO E CON FLANGIA  M6";"3147";"CASSETTA RL-KLT";"2500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140593110";"DADO E CON FLANGIA  M8";"3147";"CASSETTA RL-KLT";"1500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140593140";"DADO E CON FLANGIA  M8";"3147";"CASSETTA RL-KLT";"1250";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140593210";"DADO E CON FLANGIA  M8";"3147";"CASSETTA RL-KLT";"1000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140594210";"DADO E CON FLANGIA  M10X1,25";"3147";"CASSETTA RL-KLT";"800";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140595170";"DADO E CON FLANGIA  M12X1,25";"3147";"CASSETTA RL-KLT";"500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140599110";"DADO EAUF M6";"3147";"CASSETTA RL-KLT";"3000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140600110";"DADO EAUF M8";"3147";"CASSETTA RL-KLT";"1500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140757110";"DADO EAUF C/INS METALLICO M6";"3147";"CASSETTA RL-KLT";"3500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140758110";"DADO EAUF C.INSERTO METALLICO M8";"3147";"CASSETTA RL-KLT";"1500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140765110";"DADO EAUF C.INSERTO METALLICO M8";"3147";"CASSETTA RL-KLT";"1750";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140842110";"DADO E AUTOBLOC M6 TIPO B";"3147";"CASSETTA RL-KLT";"2500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140848110";"DADO E AUTOBLOCC.C. BORD.LARGO M8 TIPO B";"3147";"CASSETTA RL-KLT";"1500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00140987100";"DADO E SDPR TIPO B  M6";"3147";"CASSETTA RL-KLT";"2500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00141156800";"BLOCCH.T.M T.QUADRA P.VITE AUTOFILET.N.8";"4280";"CASSETTA RL-KLT";"30000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
